organic_modifier_percentage,organic_modifier,additive,additive_concentration_mM,pH_aq,name,logIE,instrument,source,logIE_pred,error_abs,viscosity,surface_tension,polarity_index,pH.aq.,NH4,SPLIT,solvent,SMILES
20,MeCN,ammonia,41,10.5,"2,6-dinitrophenol",1.51,Agilent XCT,ESI,1.274165714,0.235834286,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(c(c(c1)N(=O)=O)O)N(=O)=O
20,MeCN,ammonia,41,10.5,2-nitrophenol,-0.37,Agilent XCT,ESI,-0.725150384,0.355150384,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1ccc(c(c1)N(=O)=O)O
20,MeCN,ammonia,41,10.5,3-nitrophenol,1.01,Agilent XCT,ESI,0.863176322,0.146823678,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(cc(c1)O)N(=O)=O
20,MeCN,ammonia,41,10.5,4-nitrophenol,1.48,Agilent XCT,ESI,1.057608777,0.422391223,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(ccc1N(=O)=O)O
20,MeCN,ammonia,41,10.5,"2,3,5,6-tetrafluorophenol",1.7,Agilent XCT,ESI,0.906835159,0.793164841,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1c(c(c(c(c1F)F)O)F)F
20,MeCN,ammonia,41,10.5,3-[(heptafluoropropyl)sulphonyl]benzoic acid,2.78,Agilent XCT,ESI,2.257393963,0.522606037,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(cc(c1)S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)C(=O)O
20,MeCN,ammonia,41,10.5,3-[tris(trifluoromethyl)methylsulphonyl]benzoic acid,2.63,Agilent XCT,ESI,2.151953939,0.478046061,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(cc(c1)S(=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(=O)O
20,MeCN,ammonia,41,10.5,3-[(heptafluoropropyl)sulphanyl]benzoic acid,2.52,Agilent XCT,ESI,1.999646313,0.520353687,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(cc(c1)SC(C(C(F)(F)F)(F)F)(F)F)C(=O)O
20,MeCN,ammonia,41,10.5,3-trifluoromethylsulfonylbenzoic acid,2.05,Agilent XCT,ESI,1.648138333,0.401861667,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(cc(c1)S(=O)(=O)C(F)(F)F)C(=O)O
20,MeCN,ammonia,41,10.5,3-[tris(trifluoromethyl)methyl]benzoic acid,2.75,Agilent XCT,ESI,1.704644762,1.045355238,0.93,42.11062016,9.32,10.5,1,FALSE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(cc(c1)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(=O)O
20,MeCN,ammonia,41,10.5,3-[(trifluoromethyl)sulphanyl]benzoic acid,1.43,Agilent XCT,ESI,1.222594103,0.207405897,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(cc(c1)SC(F)(F)F)C(=O)O
20,MeCN,ammonia,41,10.5,pentachlorophenol,2.58,Agilent XCT,ESI,2.164474924,0.415525076,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1(c(c(c(c(c1Cl)Cl)O)Cl)Cl)Cl
20,MeCN,ammonia,41,10.5,"2-hydroxy-1,3,5-tris(2,2,2-trifluoroethyl)-1,3,5-benzenetrisulfonic acid ester",4.05,Agilent XCT,ESI,3.804929095,0.245070905,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1c(cc(c(c1S(=O)(=O)OCC(F)(F)F)O)S(=O)(=O)OCC(F)(F)F)S(=O)(=O)OCC(F)(F)F
20,MeCN,ammonia,41,10.5,salicylic acid,0.72,Agilent XCT,ESI,0.726605996,0.006605996,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1ccc(c(c1)C(=O)O)O
20,MeCN,ammonia,41,10.5,2-cyanophenol,0.76,Agilent XCT,ESI,0.561193239,0.198806761,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1ccc(c(c1)C#N)O
20,MeCN,ammonia,41,10.5,4-phenylazophenol,1.27,Agilent XCT,ESI,1.279325238,0.009325238,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1ccc(cc1)c1ccc(c(c1)/N=N/c1ccccc1O)O
20,MeCN,ammonia,41,10.5,"3,5-diiodosalicylic acid",2.14,Agilent XCT,ESI,1.678611752,0.461388248,0.93,42.11062016,9.32,10.5,1,FALSE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1c(cc(c(c1C(=O)O)O)I)I
20,MeCN,ammonia,41,10.5,"2,4,6-trinitro-1,3-benzenediol",1.77,Agilent XCT,ESI,1.699049755,0.070950245,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1c(c(c(c(c1N(=O)=O)O)N(=O)=O)O)N(=O)=O
20,MeCN,ammonia,41,10.5,"3,5-dinitrosalicylic acid",1.67,Agilent XCT,ESI,1.589591429,0.080408571,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1c(cc(c(c1C(=O)O)O)N(=O)=O)N(=O)=O
20,MeCN,ammonia,41,10.5,"2,4-dinitrobenzoic acid",0.06,Agilent XCT,ESI,-0.016445714,0.076445714,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(c(cc1N(=O)=O)N(=O)=O)C(=O)O
20,MeCN,ammonia,41,10.5,4-chlorophenol,0.26,Agilent XCT,ESI,0.127323745,0.132676255,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(ccc1Cl)O
20,MeCN,ammonia,41,10.5,"2-hydroxy-, 1,3,5-tris(2,2,3,3-tetrafluoro-propyl) 1,3,5-benzenetrisulfonic acid ester",3.09,Agilent XCT,ESI,3.37076953,0.28076953,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1c(cc(c(c1S(=O)(=O)OCC(C(F)F)(F)F)O)S(=O)(=O)OCC(C(F)F)(F)F)S(=O)(=O)OCC(C(F)F)(F)F
20,MeCN,ammonia,41,10.5,heptafluorornapht-2-ol,1.71,Agilent XCT,ESI,1.531898333,0.178101667,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c12c(c(c(c(c1F)F)F)F)c(c(c(c2F)F)O)F
20,MeCN,ammonia,41,10.5,"2,4-dinitro-benzenesulfonic acid",1.46,Agilent XCT,ESI,1.26951373,0.19048627,0.93,42.11062016,9.32,10.5,1,FALSE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(c(cc1N(=O)=O)N(=O)=O)S(=O)(=O)O
20,MeCN,ammonia,41,10.5,naphthalene-1-sulfonic acid,1.46,Agilent XCT,ESI,1.319885,0.140115,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1ccc2c(c1)cccc2S(=O)(=O)O
20,MeCN,ammonia,41,10.5,2-anthraquinonesulfonic acid,1.97,Agilent XCT,ESI,1.690185346,0.279814654,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1ccc2c(c1)C(=O)c1ccc(cc1C2=O)S(=O)(=O)O
20,MeCN,ammonia,41,10.5,3-nitrobenzenesulphonamide,1.17,Agilent XCT,ESI,1.089102778,0.080897222,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(cc(c1)S(=O)(=O)N)N(=O)=O
20,MeCN,ammonia,41,10.5,perfluorooctanesulfonic acid,2.56,Agilent XCT,ESI,2.4099514,0.1500486,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F
20,MeCN,ammonia,41,10.5,perfluoro-tert-butanol,1.48,Agilent XCT,ESI,0.957904239,0.522095761,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)O
20,MeCN,ammonia,41,10.5,myristic acid,1.83,Agilent XCT,ESI,1.363853571,0.466146429,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",CCCCCCCCCCCCCC(=O)O
20,MeCN,ammonia,41,10.5,"2,3,4,5,6-pentafluoro-N-[(2,3,4,5,6-pentafluorophenyl)sulfonyl]-benzenesulfonamide",1.96,Agilent XCT,ESI,2.03482,0.07482,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1(c(c(c(c(c1F)F)S(=O)(=O)NS(=O)(=O)c1c(c(c(c(c1F)F)F)F)F)F)F)F
20,MeCN,ammonia,41,10.5,4-methyl-N-[(4-nitrophenyl)sulfonyl]-benzenesulfonamide,2.31,Agilent XCT,ESI,2.012644502,0.297355498,0.93,42.11062016,9.32,10.5,1,FALSE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",Cc1ccc(cc1)S(=O)(=O)NS(=O)(=O)c1ccc(cc1)N(=O)=O
20,MeCN,ammonia,41,10.5,sorbic acid,-0.55,Agilent XCT,ESI,-0.305552493,0.244447507,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",C/C=C/C=C/C(=O)O
20,MeCN,ammonia,41,10.5,N-hydroxy-phthalimide,-0.67,Agilent XCT,ESI,-0.695814545,0.025814545,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1ccc2c(c1)C(=O)N(C2=O)O
20,MeCN,ammonia,41,10.5,4-aminobutanoic acid,-1.57,Agilent XCT,ESI,-1.522398452,0.047601548,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",C(CC(=O)O)CN
20,MeCN,ammonia,41,10.5,beta-alanine,-2.32,Agilent XCT,ESI,-2.189905714,0.130094286,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",C(CN)C(=O)O
50,MeCN,ammonia,26,10.5,benzoic acid,0.07,Agilent XCT,ESI,0.214684142,0.144684142,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1ccc(cc1)C(=O)O
50,MeCN,ammonia,26,10.5,"3,5-dinitrobenzoic acid",0.62,Agilent XCT,ESI,1.064208384,0.444208384,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1c(cc(cc1N(=O)=O)N(=O)=O)C(=O)O
50,MeCN,ammonia,26,10.5,3-trifluoromethylbenzoic acid,1.37,Agilent XCT,ESI,1.341672262,0.028327738,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(cc(c1)C(F)(F)F)C(=O)O
50,MeCN,ammonia,26,10.5,pentafluorophenol,1.41,Agilent XCT,ESI,1.373855,0.036145,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1(c(c(c(c(c1F)F)O)F)F)F
50,MeCN,ammonia,26,10.5,4-tert-butylbenzoic acid,1.46,Agilent XCT,ESI,1.216503098,0.243496902,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",CC(C)(C)c1ccc(cc1)C(=O)O
50,MeCN,ammonia,26,10.5,"4-(pentafluorophenyl)-2,3,5,6-tetrafluorophenol",2.66,Agilent XCT,ESI,2.375080812,0.284919188,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1(c2c(c(c(c(c2F)F)O)F)F)c(c(c(c(c1F)F)F)F)F
50,MeCN,ammonia,26,10.5,pentakis(trifluoromethyl)phenol,3.06,Agilent XCT,ESI,2.788461432,0.271538568,0.84,30.026945,8,10.5,1,FALSE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1(c(c(c(c(c1C(F)(F)F)C(F)(F)F)O)C(F)(F)F)C(F)(F)F)C(F)(F)F
50,MeCN,ammonia,26,10.5,4-phenylphenol,0.95,Agilent XCT,ESI,0.673258538,0.276741462,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1ccc(cc1)c1ccc(cc1)O
50,MeCN,ammonia,26,10.5,2-phenylphenol,0.63,Agilent XCT,ESI,0.507281667,0.122718333,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1ccc(cc1)c1ccccc1O
50,MeCN,ammonia,26,10.5,3-chlorobenzoic acid,0.85,Agilent XCT,ESI,0.710060873,0.139939127,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(cc(c1)Cl)C(=O)O
50,MeCN,ammonia,26,10.5,4-aminobenzoic acid,0.04,Agilent XCT,ESI,-0.04790614,0.08790614,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(ccc1C(=O)O)N
50,MeCN,ammonia,26,10.5,4-hydroxybenzoic acid,0.23,Agilent XCT,ESI,0.22711809,0.00288191,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(ccc1C(=O)O)O
50,MeCN,ammonia,26,10.5,3-aminobenzoic acid,0.17,Agilent XCT,ESI,0.07255,0.09745,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(cc(c1)N)C(=O)O
50,MeCN,ammonia,26,10.5,pentafluorobenzoic acid,1.28,Agilent XCT,ESI,1.235970586,0.044029414,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1(c(c(c(c(c1F)F)F)F)F)C(=O)O
50,MeCN,ammonia,26,10.5,"2,4-dinitrophenol",1.47,Agilent XCT,ESI,1.420869067,0.049130933,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(c(cc1N(=O)=O)N(=O)=O)O
50,MeCN,ammonia,26,10.5,3-dimethylaminobenzoic acid,1.13,Agilent XCT,ESI,0.86331199,0.26668801,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",CN(C)c1cccc(c1)C(=O)O
50,MeCN,ammonia,26,10.5,4-isopropylbenzoic acid,0.62,Agilent XCT,ESI,0.416769444,0.203230556,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",CC(C)c1ccc(cc1)C(=O)O
50,MeCN,ammonia,26,10.5,2-tert-butylphenol,0.03,Agilent XCT,ESI,-0.086866052,0.116866052,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",CC(C)(C)c1ccccc1O
50,MeCN,ammonia,26,10.5,"2,4,6-tri-tert-butylphenol",0.73,Agilent XCT,ESI,0.646440794,0.083559206,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",CC(C)(C)c1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C
50,MeCN,ammonia,26,10.5,"2,5-dinitrophenol",1.37,Agilent XCT,ESI,1.292238532,0.077761468,0.84,30.026945,8,10.5,1,FALSE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(c(cc1N(=O)=O)O)N(=O)=O
50,MeCN,ammonia,26,10.5,3-chlorophenol,0.27,Agilent XCT,ESI,0.321264293,0.051264293,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(cc(c1)O)Cl
50,MeCN,ammonia,26,10.5,2-isopropylphenol,-0.08,Agilent XCT,ESI,-0.17815526,0.09815526,0.84,30.026945,8,10.5,1,FALSE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",CC(C)c1ccccc1O
50,MeCN,ammonia,26,10.5,3-bromophenol,0.72,Agilent XCT,ESI,0.757539917,0.037539917,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(cc(c1)O)Br
50,MeCN,ammonia,26,10.5,2-bromophenol,-0.98,Agilent XCT,ESI,-0.822119563,0.157880437,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1ccc(c(c1)Br)O
50,MeCN,ammonia,26,10.5,"2,6-dinitrophenol",1.38,Agilent XCT,ESI,1.317327222,0.062672778,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(c(c(c1)N(=O)=O)O)N(=O)=O
50,MeCN,ammonia,26,10.5,2-nitrophenol,-0.71,Agilent XCT,ESI,-0.758742447,0.048742447,0.84,30.026945,8,10.5,1,FALSE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1ccc(c(c1)N(=O)=O)O
50,MeCN,ammonia,26,10.5,3-nitrophenol,1.07,Agilent XCT,ESI,0.973159015,0.096840985,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(cc(c1)O)N(=O)=O
50,MeCN,ammonia,26,10.5,4-nitrophenol,1.1,Agilent XCT,ESI,1.086238172,0.013761828,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(ccc1N(=O)=O)O
50,MeCN,ammonia,26,10.5,"2,3,5,6-tetrafluorophenol",1.48,Agilent XCT,ESI,1.212153254,0.267846746,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1c(c(c(c(c1F)F)O)F)F
50,MeCN,ammonia,26,10.5,3-[(heptafluoropropyl)sulphonyl]benzoic acid,2.4,Agilent XCT,ESI,2.345162844,0.054837156,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(cc(c1)S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)C(=O)O
50,MeCN,ammonia,26,10.5,3-[tris(trifluoromethyl)methylsulphonyl]benzoic acid,2.38,Agilent XCT,ESI,2.257928939,0.122071061,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(cc(c1)S(=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(=O)O
50,MeCN,ammonia,26,10.5,3-[(heptafluoropropyl)sulphanyl]benzoic acid,2.03,Agilent XCT,ESI,1.97370544,0.05629456,0.84,30.026945,8,10.5,1,TRUE,"MeCN/NH3 50/50 c_overall = 26 mM, pH_aq = 10.5",c1cc(cc(c1)SC(C(C(F)(F)F)(F)F)(F)F)C(=O)O
