compound_name,SMILES,inchikey,ESI_mode,logRF_original,isotope_correction,organic_modifier,organic_pc,vendor,instrument_model,mass_analyzer,ESI_source,eluent_composition,publication,doi,viscosity,surface_tension,polarity_index,pH.aq.,NH4,logP,apKa1,apKa2,bpKa1,bpKa2
Spironolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,LXMSZDCAJNLERA-ZHYRCANASA-N,negative,0.288067781,137.7727664,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,3.64,17.89,NA,-4.88,-6.09
Proscillaridin,CC1OC(O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CCC3=C2)C6=COC(=O)C=C6)C(O)C(O)C1O,MYEJFUXQJGHEQK-OWBILYANSA-N,negative,0.549899504,141.1714537,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,2.3,12.22,13.27,0.3,-3.61
Beclomethasone dipropionate,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C,KUVIULQEHSCUHY-XYWKZLDCSA-N,negative,1.318556923,181.7841812,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,4.43,13.85,15.58,-3.3,-5.29
Betamethasone valerate,CCCCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO,SNHRLVCMMWUAJD-SUYDQAKGSA-N,negative,1.285533374,136.0499781,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,3.71,13.41,14.02,-3.33,-3.39
Androstane,C[C@@]12CCC[C@H]1[C@@H]3CCC4CCCC[C@]4(C)[C@H]3CC2,QZLYKIGBANMMBK-FZFXZXLVSA-N,negative,-1.804889955,123.0408839,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,5.82,NA,NA,NA,NA
Formebolone,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C(=C[C@]4(C)[C@H]3[C@H](O)C[C@]12C)C=O,AMVODTGMYSRMNP-GNIMZFFESA-N,negative,-0.041974179,126.820989,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,1.76,14.39,15.06,-2.85,-2.99
Prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,OIGNJSKKLXVSLS-VWUMJDOOSA-N,negative,0.084068668,127.111256,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,1.27,12.59,13.87,-2.85,-3.33
Prednisone,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,negative,0.067988633,127.0882534,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,1.66,12.58,13.91,-3.33,-3.85
Androsterone,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CCC4=O,QGXBDMJGAMFCBF-HLUDHZFRSA-N,negative,-1.255604867,123.42888,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.77,18.3,NA,-1.36,-7.48
Ethinylestradiol,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CC[C@@]2(O)C#C,BFPYWIDHMRZLRN-SLHNCBLASA-N,negative,0,124.6853421,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.9,10.33,17.59,-1.66,-5.45
Estrone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CCC2=O,DNXHEGUUPJUMQT-CBZIJGRNSA-N,negative,-0.155449686,122.0253747,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,4.31,10.33,NA,-5.45,-7.48
Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,JYGXADMDTFJGBT-VWUMJDOOSA-N,negative,0.009259901,127.1342587,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,1.28,12.59,13.87,-2.85,-3.33
Fluorometholone,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)C=CC(=O)C=C14,FAOZLTXFLGPHNG-KNAQIMQKSA-N,negative,-0.034173283,128.1951813,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,2.42,12.65,13.69,-3.39,-3.81
Digitoxin,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@@H](CC[C@]67O)C8=CC(=O)OC8)C4,WDJUZGPOPHTGOT-ADSZZZNASA-N,negative,0.27662522,161.3138601,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.6,7.18,13.03,0.24,-3.25
Hydroxy progesterone,CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O,DBPWSSGDRRHUNT-UHFFFAOYSA-N,negative,0.138943511,126.5537246,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.4,12.7,18.19,-3.8,-4.82
Clostebol acetate,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=C(Cl)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C,XYGMEFJSKQEBTO-KUJXMBTLSA-N,negative,-1.401112131,166.8951827,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,4.2,NA,NA,-6.24,-7.09
Testosterone acetate,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,DJPZSBANTAQNFN-PXQJOHHUSA-N,negative,-1.321309819,126.5537246,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.81,18.52,NA,-4.81,-7.01
Fludrocortisone acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,SYWHXTATXSMDSB-GSLJADNHSA-N,negative,0.020760402,130.1846545,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,1.76,12.58,13.69,-3.39,-3.84
Hydrocortisone acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,ALEXXDVDDISNDU-JZYPGELDSA-N,negative,-0.185471409,130.1961558,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,1.72,12.61,14.88,-2.85,-3.84
Cortisone acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,ITRJWOMZKQRYTA-RFZYENFJSA-N,negative,-0.211203463,130.1731532,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,2.1,12.6,16.24,-3.85,-4.87
Spironolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,LXMSZDCAJNLERA-ZHYRCANASA-N,negative,-0.798501398,137.7727664,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.64,17.89,NA,-4.88,-6.09
Ethisterone,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C,CHNXZKVNWQUJIB-UHFFFAOYSA-N,negative,-0.812194998,126.0709195,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.52,17.59,18.52,-1.66,-4.82
Proscillaridin,CC1OC(O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CCC3=C2)C6=COC(=O)C=C6)C(O)C(O)C1O,MYEJFUXQJGHEQK-OWBILYANSA-N,negative,-0.232005396,141.1714537,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,2.3,12.22,13.27,0.3,-3.61
Beclomethasone dipropionate,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C,KUVIULQEHSCUHY-XYWKZLDCSA-N,negative,0.16634907,181.7841812,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,4.43,13.85,15.58,-3.3,-5.29
Betamethasone valerate,CCCCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO,SNHRLVCMMWUAJD-SUYDQAKGSA-N,negative,0.08849059,136.0499781,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjsuted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.71,13.41,14.02,-3.33,-3.39
Methyl testosterone,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,GCKMFJBGXUYNAG-HLXURNFRSA-N,positive,1.565318187,124.7543501,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.65,18.52,NA,-0.53,-4.82
Ethinylestradiol,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CC[C@@]2(O)C#C,BFPYWIDHMRZLRN-SLHNCBLASA-N,positive,0,124.6853421,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.9,10.33,17.59,-1.66,-5.45
Hydroxy progesterone,CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O,DBPWSSGDRRHUNT-UHFFFAOYSA-N,positive,1.697152906,126.5537246,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.4,12.7,18.19,-3.8,-4.82
"17-Methyl-5-androstane-3b,17b-diol",C[C@@]1(O)CCC2C3CC[C@@H]4C[C@@H](O)CCC4(C)C3CCC21C,QGKQXZFZOIQFBI-RZEMGSGWSA-N,positive,0.315954356,124.8003554,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.48,18.3,NA,-0.47,-1.42
Androstane,C[C@@]12CCC[C@H]1[C@@H]3CCC4CCCC[C@]4(C)[C@H]3CC2,QZLYKIGBANMMBK-FZFXZXLVSA-N,positive,0.482164922,123.0408839,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,5.82,NA,NA,NA,NA
Beclomethasone dipropionate,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C,KUVIULQEHSCUHY-XYWKZLDCSA-N,positive,1.639182474,181.7841812,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,4.43,13.85,15.58,-3.3,-5.29
Betamethasone valerate,CCCCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO,SNHRLVCMMWUAJD-SUYDQAKGSA-N,positive,1.487178737,136.0499781,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.71,13.41,14.02,-3.33,-3.39
Clostebol acetate,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=C(Cl)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C,XYGMEFJSKQEBTO-KUJXMBTLSA-N,positive,1.879693797,166.8951827,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,4.2,NA,NA,-6.24,-7.09
Cortisone acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,ITRJWOMZKQRYTA-RFZYENFJSA-N,positive,1.38202105,130.1731532,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,2.1,12.6,16.24,-3.85,-4.87
Dehydroiso androsterone,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C,FMGSKLZLMKYGDP-USOAJAOKSA-N,positive,-0.016332384,123.4058773,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.36,18.2,NA,-1.4,-7.48
Digitoxin,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@@H](CC[C@]67O)C8=CC(=O)OC8)C4,WDJUZGPOPHTGOT-ADSZZZNASA-N,positive,1.067673499,161.3138601,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.6,7.18,13.03,0.24,-3.25
Estrone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CCC2=O,DNXHEGUUPJUMQT-CBZIJGRNSA-N,positive,0.348655059,122.0253747,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,4.31,10.33,NA,-5.45,-7.48
Ethisterone,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C,CHNXZKVNWQUJIB-UHFFFAOYSA-N,positive,1.680914362,126.0709195,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,3.52,17.59,18.52,-1.66,-4.82
Fludrocortisone acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,SYWHXTATXSMDSB-GSLJADNHSA-N,positive,1.55289387,130.1846545,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,1.76,12.58,13.69,-3.39,-3.84
Fluorometholone,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)C=CC(=O)C=C14,FAOZLTXFLGPHNG-KNAQIMQKSA-N,positive,1.416926934,128.1951813,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,2.42,12.65,13.69,-3.39,-3.81
Formebolone,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C(=C[C@]4(C)[C@H]3[C@H](O)C[C@]12C)C=O,AMVODTGMYSRMNP-GNIMZFFESA-N,positive,1.503987488,126.820989,MeOH,50,Shimadzu,LCMS 2020,Q,ESI,MeOH/H2O pH = 10 adjusted with ammonia 50/50,Alymatiri,10.1039/c5ay02839f,1.60364275,31.862825,7.65,10,1,1.76,14.39,15.06,-2.85,-2.99
